time,species,name,control,nitrogen,watercontrol,HighLowRatio,term,df,sumsq,meansq,statistic,p.value,significant
D,Ihyb,b-myrcene,16082.961702127659,15850.941978928298,7564.372340425532,47.72191047372043,treatment,2,3183019313.4721475,1591509656.7360737,0.31906653976903093,0.7283258156646584,FALSE
D,Ihyb,(E)-b-ocimene,8956.559399732758,17221.3924726306,16699.965602836877,96.97221423515893,treatment,2,1234439136734.3804,617219568367.1902,0.5022838423935945,0.6082286536703236,FALSE
D,Ihyb,a-pinene,195932.7898808658,286279.50731872284,107133.55851063831,37.42271303805325,treatment,2,61436631878.11124,30718315939.05562,0.40189207724690085,0.671238062875471,FALSE
D,Ihyb,(E)-4-oxohex-2-enal,10210.203998355431,9139.325838548528,3663.070921985816,40.0803186875715,treatment,2,15292475.504200935,7646237.752100468,0.06911710001657714,0.9333082100509221,FALSE
D,Ihyb,(E)-hex-2-enal,2647.9229314420804,4930.298620501352,1774.0744680851062,35.98310375578638,treatment,2,6407956.321664155,3203978.1608320777,0.18123008777080532,0.834800017936288,FALSE
D,Ihyb,"(4E,6Z)-alloocimene",455.35602836879434,706.010204782562,494.0248226950355,69.97417591820587,treatment,2,419178299.79203355,209589149.89601678,0.5563057299099733,0.576901406804518,FALSE
D,Ihyb,cosmene,879.7640661938533,1746.8829725535088,485.6666666666667,27.801900544988577,treatment,2,158190919.94189197,79095459.97094598,1.0437839186071074,0.3598163463490906,FALSE
D,Ihyb,verbenone,322.9723404255319,689.9166666666666,484.4609929078014,70.22021880533418,treatment,2,3540807.7030952317,1770403.8515476158,1.1920446848451571,0.31224945142617627,FALSE
D,Ihyb,b-caryophyllene,50972.54743550211,12650.00302826607,4287.86524822695,33.89615985581852,treatment,2,13630307068.544262,6815153534.272131,1.1534525830350904,0.32396373723879046,FALSE
D,Ihyb,linalool,1283.5555555555554,341.578125,1633.3333333333335,478.1726971928702,treatment,2,16616964.31750583,8308482.158752915,0.10772276727056082,0.8980885218509136,FALSE
D,Ihyb,(Z)-b-ocimene,3531.423766525676,5821.4074850032775,8524.383687943262,146.43166124177378,treatment,2,11157473414.908106,5578736707.454053,0.5425543298230842,0.5847130179878366,FALSE
D,Ihyb,a-farnesene,13225.16879432624,24884.249833711277,7424.840425531915,29.83750956990196,treatment,2,634563609129.5217,317281804564.76086,1.4994839129594937,0.23330994253279655,FALSE
D,Ihyb,"p-mentha-1,3,8-triene",519.5264730808689,988.7083465519036,169.33333333333334,17.126722346774887,treatment,2,144688769.828229,72344384.9141145,0.5638545449322147,0.5726594872289239,FALSE
D,Ihyb,3-Furaldehyde,19143.544170220524,16796.40211554939,12580.981914893617,74.9028382884849,treatment,2,340603846.7167688,170301923.3583844,2.664077511789013,0.07974299104969688,FALSE
D,Ihyb,"tricyclo[5.2.1.02,6]dec-2-ene",0,244.3915513833992,0,0,treatment,2,12092741.786220057,6046370.8931100285,0.2651982247466998,0.768147742849242,FALSE
D,Ihyb,"Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-",5392.20756501182,3259.4175271739127,2081.3297872340427,63.855881300321336,treatment,2,172119109.35484454,86059554.67742227,0.5841168120677783,0.5614332258461321,FALSE
D,Ihyb,"(3E)-4,8-dimethylnona-1,3,7-triene",5772.626669342968,4518.432134618496,1578.0670212765958,34.92510176674008,treatment,2,66494567.04641167,33247283.523205835,1.2359221990389833,0.2994646468796052,FALSE
D,Ihyb,2-Decanone,9771.689600435966,9938.645436991697,9114.370567375887,91.70636607532195,treatment,2,59513665.20560008,29756832.60280004,0.8802566721557964,0.4211306262328167,FALSE
D,Ihyb,D-limonene,26653.77584153193,29306.421071717898,22301.493617021275,76.0976359496291,treatment,2,764958174.9111714,382479087.4555857,0.21976282414194775,0.8034960158961861,FALSE
D,Ihyb,a-terpineol,710.7139479905438,371.2,715.3333333333333,192.70833333333331,treatment,2,39023841.570121616,19511920.785060808,1.2505120970298689,0.29533522339657853,FALSE
D,Ihyb,"3-ethenyl-1,2-dimethylcyclohexa-1,4-diene",1062.1503032171859,326.34873764822134,89.6063829787234,27.457248226071627,treatment,2,23540802.367916435,11770401.183958218,1.0683761101764442,0.3514325521728257,FALSE
D,Ihyb,"Benzenebutanoic acid, .gamma.-oxo-",40719.77234255881,32673.02372007233,58196.662765957444,178.1183867907669,treatment,2,4640825010.186766,2320412505.093383,0.503493870589597,0.6075079100343417,FALSE
D,Ihyb,(E)-hex-3-en-1-ol,37189.79787234043,6362.631301357395,252.66666666666666,3.97110338002397,treatment,2,3678161125.5652084,1839080562.7826042,1.0616030660225302,0.3537210821292745,FALSE
D,Ihyb,"2,6-Octadienal, 3,7-dimethyl-, (E)-",0,288.1333333333334,793,275.21980564553445,treatment,2,30676900.681993254,15338450.340996627,0.5122936794806997,0.602293040480979,FALSE
D,Ihyb,indole,2670.568404905001,2474.722067092673,2893.0712765957446,116.90489671814144,treatment,2,11581127.814472932,5790563.907236466,1.1183652837578997,0.33501127856119617,FALSE
D,Lagg,b-myrcene,39427.884172903876,18229.222222222223,30473.09180457053,167.1661655834251,treatment,2,15291122900.686138,7645561450.343069,1.564651304986569,0.21638705991013113,FALSE
D,Lagg,(E)-b-ocimene,7445.245513413506,45896.444444444445,19491.601654846334,42.46865283527579,treatment,2,1721150448407.9043,860575224203.9521,0.9669001703751067,0.385279782478306,FALSE
D,Lagg,a-pinene,367189.0194572926,96534.88888888889,393128.12529550825,407.2394238190883,treatment,2,102038841910.41379,51019420955.206894,0.27502210938977756,0.760372217480819,FALSE
D,Lagg,(E)-4-oxohex-2-enal,31698.932788803857,22982,9381.822892040978,40.82248234288129,treatment,2,1573408001.532246,786704000.766123,0.6043187438570062,0.5492723528988785,FALSE
D,Lagg,(E)-hex-2-enal,14408.87919925434,10784.888888888889,5031.355594956659,46.65190014280262,treatment,2,317859290.89753675,158929645.44876838,0.5925084586499642,0.5556875415035849,FALSE
D,Lagg,"(4E,6Z)-alloocimene",490.24481610742015,1018.8888888888889,1143.4659180457054,112.22675313425681,treatment,2,340102229.871746,170051114.935873,0.7975566666544166,0.45447821338185557,FALSE
D,Lagg,cosmene,1337.439239761164,2612.1111111111113,2656.324074074074,101.69261417613112,treatment,2,33845062.98029644,16922531.49014822,0.48163393505476254,0.6198051334928214,FALSE
D,Lagg,verbenone,1739.5896679561574,380.22222222222223,509.70252167060676,134.05384848145707,treatment,2,524736.1443330755,262368.07216653775,0.04593077054852297,0.9551368415009642,FALSE
