site,plant,date_measured,time_marked,nectar_48_hr_mm,nectar_conc,notes
Lagg,540,2022-07-14,12:10,35.0,17.5,
Lagg,540,2022-07-14,12:10,,,flower fell out of straw
Lagg,415,2022-07-14,12:12,37.0,,no reading
Lagg,415,2022-07-14,12:12,18.0,26.0,
Lagg,539,2022-07-14,12:19,,,straw fell off
Lagg,539,2022-07-14,12:19,,,straw fell off
Lagg,280,2022-07-14,12:25,14.0,,no reading
Lagg,280,2022-07-14,12:25,,,no reading
Lagg,599,2022-07-14,12:28,49.0,36.5,
Lagg,599,2022-07-14,12:28,54.0,26.0,
Lagg,608,2022-07-14,12:44,78.0,31.0,
Lagg,608,2022-07-14,12:44,65.0,33.5,
Lagg,607,2022-07-14,12:40,62.0,32.0,
Lagg,607,2022-07-14,12:41,70.0,,
Lagg,616,2022-07-14,12:47,64.0,34.5,
Lagg,616,2022-07-14,12:47,68.0,32.5,
Lagg,550,2022-07-14,12:56,54.0,12.0,
Lagg,550,2022-07-14,12:59,50.0,28.0,
Lagg,614,2022-07-14,12:32,48.0,39.0,
Lagg,344,2022-07-14,12:30,32.0,,
Lagg,596,2022-07-14,12:53,32.0,17.5,
Lagg,584,2022-07-14,13:03,58.0,23.5,
Lagg,325,2022-07-14,13:00,52.0,20.0,
Ihyb,726,2022-07-14,11:04,17.0,,
Ihyb,712,2022-07-14,10:58,11.0,,
Ihyb,713,2022-07-14,11:08,29.0,24.5,
Ihyb,718,2022-07-14,11:10,32.0,23.0,
Ihyb,718,2022-07-14,11:11,28.0,34.0,
Ihyb,721,2022-07-14,11:13,30.0,,
Ihyb,721,2022-07-14,11:14,13.0,,
Ihyb,509,2022-07-14,10:59,13.0,25.0,
Ihyb,509,2022-07-14,11:00,24.0,28.0,
Ihyb,737,2022-07-14,11:02,35.0,31.0,
Ihyb,101,2022-07-14,11:08,32.0,21.5,
Ihyb,101,2022-07-14,11:09,22.0,27.0,
Ihyb,729,2022-07-14,,16.0,27.0,
Ihyb,701,2022-07-14,11:23,25.0,27.5,
Ihyb,701,2022-07-14,11:24,12.0,,
Ihyb,731,2022-07-14,11:15,23.0,31.0,
Ihyb,731,2022-07-14,11:15,19.0,,
Ihyb,706,2022-07-14,11:13,23.0,,
Ihyb,706,2022-07-14,11:13,13.0,,
Ihyb,719,2022-07-14,10:49,30.0,23.5,
Ihyb,719,2022-07-14,10:50,25.0,26.0,
Ihyb,705,2022-07-14,10:52,12.0,37.0,
Ihyb,707,2022-07-14,11:10,30.0,25.5,
Ihyb,506,2022-07-14,11:20,23.0,,
Ihyb,506,2022-07-14,11:22,26.0,16.5,
Ihyb,503,2022-07-14,11:24,19.0,16.0,
Ihyb,503,2022-07-14,11:25,22.0,20.5,
Ihyb,799,2022-07-14,11:22,16.0,31.5,
Ihyb,798,2022-07-14,11:16,15.0,,
Ihyb,798,2022-07-14,11:16,20.0,33.0,
Lagg,554,2022-07-14,13:03,58,23.5,
Lagg,541,2022-07-14,13:35,37,26.5,
Lagg,593,2022-07-14,,41,28.5,"""NA"" in time"
Lagg,341,2022-07-14,12:34,46,23.5,
Lagg,341,2022-07-14,12:34,76,24,
Lagg,283,2022-07-14,12:44,33,29,
Lagg,281,2022-07-14,12:46,45,17.5,
Lagg,281,2022-07-14,12:46,30,NA,
Lagg,568,2022-07-14,12:51,34,NA,
Lagg,568,2022-07-14,12:51,33,18,
Lagg,585,2022-07-14,13:05,54,23,
Lagg,562,2022-07-14,13:09,35,20.5,
Lagg,562,2022-07-14,13:09,25,23.5,
Lagg,320,2022-07-14,13:42,28,18.5,
Lagg,320,2022-07-14,13:42,60,26,
Lagg,337,2022-07-14,12:41,34,25,
Lagg,337,2022-07-14,12:42,33,26.5,
Lagg,334,2022-07-14,12:46,51,32.5,
Lagg,566,2022-07-14,12:49,60,19,
Lagg,566,2022-07-14,12:50,64,21.5,
Lagg,297,2022-07-14,12:59,32,NA,
Lagg,297,2022-07-14,12:59,42,18,
Lagg,561,2022-07-14,13:06,45,NA,
Lagg,590,2022-07-14,13:11,38,18,
Lagg,590,2022-07-14,13:12,60,22,
Lagg,588,2022-07-14,13:14,45,30,
Lagg,545,2022-07-14,13:16,53,23,
Lagg,545,2022-07-14,13:17,46,27,
Lagg,76,2022-07-14,13:18,32,26,
Lagg,548,2022-07-14,13:20,65,19,
Lagg,548,2022-07-14,13:21,72,15.5,
Lagg,?,2022-07-14,13:37,57,21,Near 85
Lagg,?,2022-07-14,13:38,66,25,Near 85
Lagg,281,2022-07-21,9:15,30,19,
Lagg,281,2022-07-21,9:16,52,22,
Lagg,283,2022-07-21,9:17,1.5,NA,
Lagg,283,2022-07-21,9:18,0,NA,
Lagg,341,2022-07-21,9:20,11,25,
Lagg,415,2022-07-21,9:21,46,26,
Lagg,539,2022-07-21,9:25,27,32,
Lagg,280,2022-07-21,9:28,13,NA,
