page,index,date,time,site,plant,bag,pump,end,equil,pumping,leaves,pump_id,observer,vwc,temp_F,notes,sample_id,rundate,tube,file_id,filename
1,1,2022-08-22,D,1,29,9:09,9:40,9:55,0:31,0:15,1,CWU2,JB,,65,"redo pump broken JP: redone below, deleted sample_id",,,,,#N/A
1,2,2022-08-22,D,Max,91,9:12,9:42,9:57,0:30,0:15,1,CWU1,JB,38.4,65,,Max-91_220822,919a,13,919aT13,NEXP2Leaf_919aT13_9192022_13.qgd
1,3,2022-08-22,D,3,69,9:15,9:45,10:00,0:30,0:15,1,DRC1,JB,37.7,65,,3-69_220822,919a,14,919aT14,NEXP2Leaf_919aT14_9192022_14.qgd
1,4,2022-08-22,D,5,88,9:16,9:46,10:01,0:30,0:15,1,DRC3,JB,39.6,65,trap touch glove + table,5-88_220822,919a,15,919aT15,NEXP2Leaf_919aT15_9192022_15.qgd
1,5,2022-08-22,D,1,44,9:25,9:56,10:11,0:31,0:15,1,CWU2,JB,37.3,65,"redo pump broken JP: redone below, deleted sample_id",,,,,#N/A
1,6,2022-08-22,D,4,84,9:28,9:59,10:14,0:31,0:15,1,CWU1,JB,38.3,65,,4-84_220822,919a,16,919aT16,NEXP2Leaf_919aT16_9192022_16.qgd
1,7,2022-08-22,D,Max,93,9:30,10:01,10:16,0:31,0:15,1,DRC1,JB,37.1,65,,Max-93_220822,919a,17,919aT17,NEXP2Leaf_919aT17_9192022_17.qgd
1,8,2022-08-22,D,1,27,9:31,10:05,10:20,0:34,0:15,1,DRC3,JB,34.9,65,,1-27_220822,919a,18,919aT18,NEXP2Leaf_919aT18_9192022_18.qgd
1,9,2022-08-22,D,Max,92,9:49,10:19,10:34,0:30,0:15,1,CWU1,JB,36.6,65,,Max-92_220822,919a,19,919aT19,NEXP2Leaf_919aT19_9192022_19.qgd
1,10,2022-08-22,D,1,18,9:50,10:20,10:37,0:30,0:17,1,DRC1,JB,35.6,65,,1-18_220822,919a,20,919aT20,NEXP2Leaf_919aT20_9192022_20.qgd
1,11,2022-08-22,D,1,20,9:53,10:23,10:38,0:30,0:15,1,DRC3,JB,37.2,65,trap fell out,1-20_220822,919a,21,919aT21,NEXP2Leaf_919aT21_9192022_21.qgd
1,12,2022-08-22,D,1,43,9:54,10:36,10:51,0:42,0:15,1,CWU1,JB,35.8,65,,1-43_220822,919a,22,919aT22,NEXP2Leaf_919aT22_9192022_22.qgd
1,13,2022-08-22,D,1,29,9:09,10:39,10:54,1:30,0:15,1,DRC1,JB,37.7,65,redo,1-29_220822,919a,12,919aT12,NEXP2Leaf_919aT12_9192022_12.qgd
1,14,2022-08-22,D,1,44,9:25,10:40,10:55,1:15,0:15,1,DRC3,JB,37.3,65,redo,1-44_220822,919a,24,919aT24,NEXP2Leaf_919aT24_9192022_24.qgd
1,15,2022-08-22,D,AMB,JB,10:22,10:52,11:07,0:30,0:15,1,CWU1,JB,,65,JP: added 1 to JB,AMB-JB1_220822,919a,25,919aT25,NEXP2Leaf_919aT25_9192022_25.qgd
