trt,trt_col,site,plant,plantid,longest_leaf_cm,taproot_cm,plant_mass_g,longest_root_cm,n_leaves,transplant_notes
1,white,1,1,1-1,6.3,10.5,5.43,17.1,42,
2,pink,1,2,1-2,6.7,12.4,3.90,12.4,39,
3,yellow,1,3,1-3,6.5,9.3,5.88,12.1,61,
4,green,1,4,1-4,8.9,13.5,4.62,14.3,43,
5,blue,1,5,1-5,11.2,13.1,4.91,16.2,36,
6,red,1,6,1-6,7.3,12.9,5.92,12.9,39,
1,white,1,7,1-7,9.7,11.1,7.43,14.8,48,
2,pink,1,8,1-8,5.7,6.6,3.97,6.6,35,
3,yellow,1,9,1-9,9.5,13.2,10.39,14.6,78,"two rosettes: 43, 35 leaves"
4,green,1,10,1-10,4.5,15.7,3.04,17.5,32,
5,blue,1,11,1-11,8.7,8.8,2.61,8.8,28,
6,red,1,12,1-12,5.5,10.8,2.55,16.7,29,
1,white,1,13,1-13,5.7,8.5,2.93,11.0,37,
2,pink,1,14,1-14,8.1,10.0,6.96,10.0,56,
3,yellow,1,15,1-15,12.8,11.2,5.99,14.5,38,
4,green,1,16,1-16,7.3,16.3,5.88,16.6,48,
5,blue,1,17,1-17,7.1,9.5,5.24,14.2,49,
6,red,1,18,1-18,5.2,12.0,4.57,15.9,41,
1,white,1,19,1-19,6.6,12.2,5.37,21.1,47,
2,pink,1,20,1-20,6.4,14.3,4.18,14.3,50,
3,yellow,1,21,1-21,8.5,13.0,9.40,13.0,56,"JP: changed longest_leaf_cm from 18.5 to 8.5, 8/18 datasheet says 8.0 cm"
4,green,1,22,1-22,7.5,5.5,2.77,5.5,20,broken taproot
5,blue,1,23,1-23,6.6,6.7,4.09,17.2,31,
6,red,1,24,1-24,8.3,6.0,5.58,6.0,42,broken taproot
1,white,1,25,1-25,8.4,6.5,6.54,6.6,50,
2,pink,1,26,1-26,6.1,11.9,4.36,11.9,43,
3,yellow,1,27,1-27,5.4,13.4,3.27,13.4,31,
4,green,1,28,1-28,4.7,10.4,2.85,13.5,38,
5,blue,1,29,1-29,8.4,11.2,7.19,15.1,51,
6,red,1,30,1-30,6.3,8.2,2.54,8.2,27,
1,white,1,31,1-31,8.0,13.2,3.32,13.2,30,
2,pink,1,32,1-32,7.7,9.8,3.47,10.4,37,
3,yellow,1,33,1-33,10.2,12.4,11.03,14.6,74,
4,green,1,34,1-34,7.2,6.6,6.18,16.8,47,
5,blue,1,35,1-35,6.5,13.3,4.71,13.3,30,
6,red,1,36,1-36,5.6,10.3,3.64,14.1,46,
1,white,1,37,1-37,6.4,8.4,4.11,11.4,38,
2,pink,1,38,1-38,7.4,14.6,3.85,14.6,33,
3,yellow,1,39,1-39,7.5,10.0,4.37,12.1,34,
4,green,1,40,1-40,7.4,13.6,3.61,15.0,39,
5,blue,1,41,1-41,6.5,7.1,1.88,7.1,27,
6,red,1,42,1-42,6.0,5.2,4.84,5.2,64,
1,white,1,43,1-43,6.6,11.5,3.12,15.6,34,
2,pink,1,44,1-44,7.4,9.8,5.00,12.4,39,
3,yellow,1,45,1-45,10.2,6.8,7.02,6.8,44,
5,blue,1,46,1-46,6.5,13.3,4.62,14.1,48,skipped green
6,red,1,47,1-47,7.2,8.9,3.90,10.3,35,
1,white,1,48,1-48,6.6,9.7,4.43,15.9,46,
2,pink,1,49,1-49,5.7,7.3,2.28,9.5,26,
3,yellow,1,50,1-50,5.4,11.2,3.99,14.5,35,
4,green,1,51,1-51,7.9,14.8,9.94,19.1,63,
5,blue,1,52,1-52,5.2,9.1,2.55,9.1,35,
6,red,1,53,1-53,8.2,15.0,6.35,15.0,37,
1,white,1,54,1-54,8.1,14.6,5.96,14.6,54,
2,pink,1,55,1-55,6.0,8.7,5.09,14.6,43,
