FileName,sample2,experiment,time,vial,sample_date,run_date,gc_sequence_number,.qgd,sequence.start,verdict,index,color2,date
NEXP2_D_115_230724_7262023_03.qgd,NEXP2_D_115_230724_7262023_03.qgd,NEXP2,D,115,230724,7262023,03,qgd,2023-07-26T22:45:35Z,no-skip,992,NA,2023-07-24
NEXP2_D_6_230724_7262023_04.qgd,NEXP2_D_6_230724_7262023_04.qgd,NEXP2,D,6,230724,7262023,04,qgd,2023-07-26T22:45:35Z,no-skip,993,NA,2023-07-24
NEXP2_D_4_230724_7262023_05.qgd,NEXP2_D_4_230724_7262023_05.qgd,NEXP2,D,4,230724,7262023,05,qgd,2023-07-26T22:45:35Z,no-skip,994,NA,2023-07-24
NEXP2_D_5_230724_7262023_06.qgd,NEXP2_D_5_230724_7262023_06.qgd,NEXP2,D,5,230724,7262023,06,qgd,2023-07-26T22:45:35Z,leak-blank,995,NA,2023-07-24
NEXP2_D_111_230724_7262023_07.qgd,NEXP2_D_111_230724_7262023_07.qgd,NEXP2,D,111,230724,7262023,07,qgd,2023-07-26T22:45:35Z,no-skip,996,NA,2023-07-24
NEXP2_D_112_230724_7262023_08.qgd,NEXP2_D_112_230724_7262023_08.qgd,NEXP2,D,112,230724,7262023,08,qgd,2023-07-26T22:45:35Z,no-skip,997,NA,2023-07-24
NEXP2_D_2_230724_7262023_09.qgd,NEXP2_D_2_230724_7262023_09.qgd,NEXP2,D,2,230724,7262023,09,qgd,2023-07-26T22:45:35Z,no-skip,998,NA,2023-07-24
NEXP2_D_1_230724_7262023_10.qgd,NEXP2_D_1_230724_7262023_10.qgd,NEXP2,D,1,230724,7262023,10,qgd,2023-07-26T22:45:35Z,no-skip,999,NA,2023-07-24
NEXP2_D_118_230724_7262023_11.qgd,NEXP2_D_118_230724_7262023_11.qgd,NEXP2,D,118,230724,7262023,11,qgd,2023-07-26T22:45:35Z,no-skip,1000,NA,2023-07-24
NEXP2_D_116_230724_7262023_12.qgd,NEXP2_D_116_230724_7262023_12.qgd,NEXP2,D,116,230724,7262023,12,qgd,2023-07-26T22:45:35Z,no-skip,1001,NA,2023-07-24
NEXP2_D_119_230724_7262023_13.qgd,NEXP2_D_119_230724_7262023_13.qgd,NEXP2,D,119,230724,7262023,13,qgd,2023-07-26T22:45:35Z,no-skip,1002,NA,2023-07-24
NEXP2_D_113_230724_7262023_14.qgd,NEXP2_D_113_230724_7262023_14.qgd,NEXP2,D,113,230724,7262023,14,qgd,2023-07-26T22:45:35Z,no-skip,1003,NA,2023-07-24
NEXP2_D_117_230724_7262023_15.qgd,NEXP2_D_117_230724_7262023_15.qgd,NEXP2,D,117,230724,7262023,15,qgd,2023-07-26T22:45:35Z,no-skip,1004,NA,2023-07-24
