8/1/2022,JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEN_1,,TEN_1,,TEN_2,,TEN_2,,TEN_3,,TEN_3,,TEN_4,,TEN_4,,TEN_5,,TEN_5,,TEN_6,,TEN_6,,TEN_7,,TEN_7,,TEN_8,,TEN_8,,TEN_9,,TEN_9,,TEN_10,,TEN_10,,TEN_11,,TEN_11,,TEN_12,,TEN_12,,TEN_13,,TEN_13,,TEN_14,,TEN_14,,TEN_15,,TEN_15,,TEN_16,,TEN_16,,TEN_17,,TEN_17,,TEN_18,,TEN_18,,TEN_19,,TEN_19,,TEN_20,,TEN_20 ,,AGG_1,,AGG_1,,AGG_2,,AGG_2,,AGG_3,,AGG_3,,AGG_4,,AGG_4,,AGG_5,,AGG_5,,AGG_6,,AGG_6,,AGG_7 ,,AGG_7,,AGG_8,,AGG_8,,AGG_9,,AGG_9,,AGG_10,,AGG_10 ,,AGG_11,,AGG_11,,AGG_12,,AGG_12,,AGG_13,,AGG_13,,AGG_14,,AGG_14,,AGG_15,,AGG_15,,AGG_16,,AGG_16,,AGG_17 ,,AGG_17,,AGG_18,,AGG_18,,AGG_19,,AGG_19,,AGG_20,,AGG_20
350,8.267,350,1.839,350,28.929,350,34.692,350,10.506,350,14.964,350,11.512,350,21.419,350,21.065,350,10.323,350,11.195,350,-0.833,350,27.233,350,20.353,350,27.559,350,9.819,350,10.234,350,31.255,350,10.651,350,30.132,350,15.622,350,18.413,350,3.39,350,2.565,350,44.342,350,13.502,350,17.55,350,11.822,350,-4.559,350,16.806,350,-2.236,350,-18.122,350,-7.296,350,-16.396,350,23.77,350,25.951,350,12.28,350,23.963,350,-0.721,350,-2.004,350,22.718,350,10.868,350,21.954,350,38.543,350,-13.438,350,8.041,350,-0.666,350,4.504,350,16.028,350,12.229,350,28.548,350,34.302,350,0.645,350,9.876,350,8.904,350,-17.327,350,3.315,350,-7.247,350,14.872,350,-2.014,350,44.416,350,13.22,350,54.928,350,28.815,350,36.365,350,51.595,350,52.81,350,48.021,350,62.384,350,26.176,350,52.039,350,78.16,350,45.322,350,53.158,350,45.353,350,60.83,350,51.731,350,46.152,350,55.338,350,47.639
351,-18.105,351,-24.322,351,-1.033,351,11.22,351,-3.513,351,21.212,351,-5.209,351,-81.783,351,-5.715,351,-21.321,351,-37.039,351,-52.497,351,-14.648,351,17.466,351,8.509,351,14.234,351,-23.232,351,-22.979,351,-20.83,351,-18.818,351,-31.189,351,-14.188,351,-41.611,351,-13.787,351,2.399,351,-75.675,351,-22.936,351,-28.382,351,4.776,351,-30.605,351,-24.718,351,-11.863,351,-36.374,351,13.582,351,-10.806,351,10.409,351,-25.053,351,5.685,351,-28.028,351,14.809,351,-35.021,351,-13.34,351,-22.421,351,-32.976,351,-23.323,351,-27.494,351,-31.518,351,-6.554,351,-18.23,351,8.19,351,-18.189,351,-36.413,351,-26.221,351,-13.757,351,-34.126,351,0.047,351,-49.72,351,-23.868,351,-34.322,351,-24.272,351,16.062,351,-16.875,351,-0.593,351,39.537,351,34.99,351,11.869,351,42.949,351,8.792,351,8.666,351,-7.898,351,24.202,351,56.237,351,19.427,351,6.13,351,7.293,351,22.083,351,25.299,351,24.976,351,37.1,351,10.522
352,-10.731,352,2.52,352,38.17,352,14.292,352,-2.715,352,-1.36,352,18.253,352,10.645,352,19.463,352,-8.788,352,17.406,352,-18.319,352,4.211,352,-6.218,352,-0.641,352,-8.979,352,8.022,352,-1.962,352,2.733,352,-14.507,352,-0.618,352,-8.089,352,6.481,352,14.41,352,21.699,352,-28.216,352,-9.471,352,-10.018,352,16.802,352,-8.544,352,4.262,352,21.629,352,13.019,352,4.018,352,26.557,352,-33.381,352,-10.959,352,-6.403,352,0.799,352,-22.329,352,6.858,352,-3.619,352,0.458,352,-1.061,352,20.015,352,1.325,352,-7.514,352,6.294,352,-6.597,352,-5.226,352,-3.373,352,26.977,352,-8.061,352,-13.816,352,-18.163,352,-3.91,352,10.713,352,-12.364,352,-23.812,352,-28.009,352,12.888,352,26.735,352,-14.798,352,13.464,352,42.042,352,47.14,352,18.394,352,7.743,352,-12.054,352,37.606,352,12.587,352,-3.21,352,-7.05,352,13.095,352,8.44,352,45.661,352,22.497,352,1.206,352,25.314,352,21.585
353,-27.195,353,10.329,353,0.627,353,-5.883,353,-11.087,353,-5.879,353,8.306,353,-0.895,353,6.456,353,-16.952,353,-17.606,353,17.979,353,-9.52,353,-1.981,353,-15.597,353,-22.65,353,20.915,353,-8.188,353,-11.681,353,-22,353,-51.631,353,-18.79,353,0.762,353,-13.53,353,-14.864,353,-12.192,353,-17.159,353,-25.201,353,-3.221,353,15.866,353,-6.063,353,-22.762,353,2.839,353,13.522,353,26.912,353,-1.348,353,-37.063,353,-0.491,353,-12.037,353,-54.196,353,-38.247,353,4.741,353,-9.357,353,-18.6,353,-11.003,353,-1.088,353,-2.378,353,-15.874,353,-20.956,353,-5.397,353,-4.764,353,3.757,353,-14.684,353,-23.376,353,2.017,353,-5.68,353,-21.637,353,-26.507,353,-42.882,353,-29.201,353,17.605,353,23.947,353,20.36,353,-3.853,353,18.113,353,31.084,353,19.443,353,2.234,353,36.112,353,-28.325,353,19.683,353,30.297,353,-0.573,353,2.657,353,-2.577,353,35.641,353,-4.109,353,2.109,353,31.264,353,34.891
354,24.558,354,4.703,354,-43.401,354,-31.135,354,-36.122,354,-33.441,354,2.874,354,-39.539,354,-72.187,354,-26.016,354,-16.146,354,-23.824,354,-26.62,354,-8.777,354,-42.333,354,-40.355,354,-17.878,354,-26.558,354,-24.186,354,-37.387,354,-92.605,354,-28.373,354,-34.466,354,-34.518,354,-26.823,354,-42.691,354,-51.58,354,-5.859,354,-7.627,354,5.598,354,-21.008,354,-24.911,354,-10.828,354,-16.165,354,2.431,354,-31.657,354,-29.726,354,1.156,354,-48.424,354,0.887,354,-46.835,354,-12.603,354,-16.987,354,3.59,354,-8.881,354,-56.959,354,-43.572,354,-35.019,354,-36.308,354,-20.175,354,-27.525,354,-63.218,354,-15.939,354,-45.456,354,-60.827,354,-42.981,354,-63.957,354,-46.38,354,-45.692,354,-62.125,354,14.141,354,-25.246,354,2.05,354,15.723,354,-9.798,354,12.845,354,19.065,354,-12.755,354,14.35,354,10.59,354,22.797,354,48.33,354,-13.922,354,13.274,354,12.564,354,10.849,354,5.039,354,19.191,354,27.243,354,42.423
355,-53.354,355,-6.567,355,-26.391,355,-6.966,355,-33.657,355,-19.403,355,-28.887,355,-38.434,355,-20.741,355,-54.051,355,-21.055,355,-13.993,355,-15.257,355,-50.85,355,-35.958,355,-2.167,355,-15.324,355,-30.619,355,-47.123,355,-51.49,355,-41.389,355,-27.406,355,-19.848,355,-23.514,355,-29.747,355,-20.772,355,-38.506,355,-41.084,355,-38.974,355,-29.001,355,-43.708,355,-43.466,355,-33.948,355,-22.564,355,-45.389,355,-44.614,355,-41.704,355,-25.469,355,-33.179,355,-29.138,355,-44.564,355,-56.257,355,-43.071,355,-44.391,355,-40.805,355,-32.494,355,-58.454,355,-46.158,355,-22.703,355,-21.142,355,-3.921,355,-35.144,355,-9.709,355,-7.175,355,-58.647,355,-53.955,355,-43.965,355,-51.484,355,-81.116,355,-36.789,355,38.431,355,-15.421,355,-14.404,355,-3.181,355,19.332,355,13.296,355,-9.524,355,37.196,355,-12.465,355,8.931,355,74.322,355,23.096,355,1.176,355,-12.855,355,10.856,355,-7.088,355,8.586,355,-8.757,355,32.877,355,12.664
356,-22.224,356,10.413,356,11.639,356,3.606,356,1.652,356,4.231,356,8.457,356,10.972,356,-1.261,356,17.795,356,-5.586,356,-7.333,356,-4.143,356,-9.563,356,-10.56,356,-2.403,356,-8.174,356,-16.985,356,-22.611,356,-20.496,356,6.563,356,3.535,356,-1.459,356,10.247,356,-3.074,356,1.417,356,-19.992,356,-8.665,356,-18.38,356,4.071,356,6.344,356,-7.468,356,-3.712,356,17.065,356,1.906,356,-3.884,356,-20.374,356,-7.508,356,3.235,356,-15.443,356,-8.127,356,11.768,356,-11.132,356,9.974,356,-17.547,356,-9.266,356,-16.693,356,0.259,356,0.875,356,-3.696,356,-3.378,356,4.277,356,-1.953,356,-24.696,356,6.519,356,-9.79,356,-5.793,356,-5.55,356,-8.985,356,-24.805,356,27.553,356,-1.763,356,32.366,356,-43.024,356,6.687,356,-0.532,356,34.057,356,14.919,356,10.332,356,38.148,356,29.129,356,47.42,356,6.74,356,17.576,356,2.045,356,6.704,356,55.162,356,20.283,356,15.946,356,24.336
357,-12.326,357,-26.908,357,-2.63,357,-6.628,357,-17.172,357,-39.316,357,1.649,357,-15.147,357,-9.463,357,-22.454,357,-3.443,357,-32.115,357,-6.931,357,-9.783,357,-7.21,357,-32.42,357,-12.121,357,-38.964,357,-25.42,357,-27.323,357,-27.026,357,-33.317,357,-31.059,357,-9.458,357,-20.146,357,-14.918,357,-11.137,357,-34.854,357,-24.063,357,-41.761,357,-16.576,357,-16.009,357,-38.171,357,-12.391,357,-21.604,357,-28.254,357,-45.359,357,-18.691,357,-33.849,357,-24.92,357,-21.645,357,-50.796,357,-28.81,357,-9.727,357,-24.31,357,-14.556,357,-24.669,357,-21.787,357,-15.814,357,4.408,357,-22.421,357,-12.453,357,-43.08,357,-27.642,357,-21.081,357,-46.431,357,-23.696,357,-58.457,357,-33.741,357,-17.998,357,16.877,357,21.553,357,-2.171,357,21.689,357,16.523,357,13.138,357,13.627,357,14.177,357,27.397,357,20.475,357,33.609,357,42.761,357,19.285,357,14.608,357,4.906,357,12.478,357,20.728,357,-10.221,357,42.453,357,11.947
358,29.267,358,-11.665,358,-11.438,358,-11.434,358,-38.491,358,11.367,358,-13.545,358,-26.898,358,-14.276,358,-0.231,358,-11.734,358,-27.607,358,-6.904,358,-22.858,358,4.843,358,-32.297,358,-3.169,358,-18.3,358,-13.671,358,-9.205,358,-26.781,358,-35.88,358,-16.384,358,-17.991,358,-31.706,358,-16.198,358,-18.195,358,-16.162,358,-22.847,358,-27.161,358,-6.805,358,-23.025,358,-27.331,358,-29.266,358,2.731,358,-45.529,358,-9.096,358,-37.27,358,15.488,358,-18.17,358,-4.485,358,-18.174,358,-20.471,358,-24.389,358,-27.369,358,-28.482,358,6.117,358,-29.669,358,-11.286,358,-33.987,358,11.818,358,-8.965,358,9.176,358,-50.536,358,-0.614,358,-25.296,358,-47.946,358,-23.057,358,-9.295,358,-9.238,358,-21.292,358,-29.255,358,-6.61,358,-10.772,358,-48.584,358,-66.455,358,-3.735,358,-7.335,358,-14.678,358,-26.14,358,-18.936,358,-7.227,358,18.352,358,33.502,358,-6.303,358,29.857,358,-6.905,358,-25.721,358,-36.051,358,-3.023
359,37.832,359,4.587,359,23.724,359,15.515,359,21.331,359,26.019,359,29.125,359,37.242,359,24.177,359,11.838,359,16.254,359,19.617,359,23.449,359,30.039,359,21.111,359,8.304,359,16.305,359,27.692,359,5.768,359,12.651,359,14.702,359,4.945,359,3.25,359,39.089,359,11.237,359,8.57,359,4.979,359,3.007,359,-0.584,359,20.923,359,32.439,359,31.181,359,20.268,359,0.687,359,1.338,359,21.143,359,30.305,359,3.363,359,47.128,359,35.569,359,7.651,359,12.444,359,1.457,359,7.732,359,1.625,359,4.999,359,19.195,359,2.537,359,18.103,359,20.094,359,-1.331,359,10.292,359,8.637,359,-10.376,359,-0.139,359,10.885,359,10.378,359,4.877,359,14.663,359,7.641,359,44.582,359,0.059,359,43.598,359,6.741,359,-21.252,359,-5.794,359,-4.256,359,-16.112,359,-2.869,359,27.391,359,37.759,359,-0.464,359,5.771,359,6.837,359,6.924,359,-11.736,359,39.061,359,19.338,359,34.937,359,-9.155
