site,number,plant,Color,nitrogen,microbe,Survival_status
1,5,1-5,b,low,early,bolting
1,11,1-11,b,low,early,veg
1,17,1-17,b,low,early,bolting
1,23,1-23,b,low,early,veg
1,29,1-29,b,low,early,bolting
1,35,1-35,b,low,early,bolting
1,41,1-41,b,low,early,bolting
1,46,1-46,b,low,early,bolting
1,52,1-52,b,low,early,veg
1,58,1-58,b,low,early,veg
6,64,6-64,b,low,early,bolting
3,70,3-70,b,low,early,bolting
3,76,3-76,b,low,early,bolting
4,82,4-82,b,low,early,bolting
5,87,5-87,b,low,early,bolting
max,93,max93,b,low,early,bolting
1,4,1-4,g,low,normal,bolting
1,10,1-10,g,low,normal,bolting
1,16,1-16,g,low,normal,bolting
1,22,1-22,g,low,normal,veg
1,28,1-28,g,low,normal,bolting
1,34,1-34,g,low,normal,bolting
1,40,1-40,g,low,normal,bolting
1,51,1-51,g,low,normal,bolting
1,57,1-57,g,low,normal,bolting
1,63,1-63,g,low,normal,bolting
3,69,3-69,g,low,normal,dead
3,75,3-75,g,low,normal,bolting
4,81,4-81,g,low,normal,bolting
5,86,5-86,g,low,normal,veg
max,92,max92,g,low,normal,bolting
max,96,max96,g,low,normal,bolting
1,2,1-2,p,high,sterile,bolting
1,8,1-8,p,high,sterile,bolting
1,14,1-14,p,high,sterile,bolting
1,20,1-20,p,high,sterile,veg
1,26,1-26,p,high,sterile,veg
1,32,1-32,p,high,sterile,bolting
1,38,1-38,p,high,sterile,veg
1,44,1-44,p,high,sterile,bolting
1,49,1-49,p,high,sterile,dead
1,55,1-55,p,high,sterile,dead
1,61,1-61,p,high,sterile,veg
2,67,2-67,p,high,sterile,veg
3,73,3-73,p,high,sterile,bolting
4,79,4-79,p,high,sterile,bolting
4,85,4-85,p,high,sterile,bolting
3,90,3-90,p,high,sterile,bolting
1,6,1-6,r,high,normal,bolting
1,12,1-12,r,high,normal,veg
1,18,1-18,r,high,normal,dead
1,24,1-24,r,high,normal,bolting
1,30,1-30,r,high,normal,veg
1,36,1-36,r,high,normal,bolting
1,42,1-42,r,high,normal,bolting
1,47,1-47,r,high,normal,bolting
1,53,1-53,r,high,normal,bolting
1,59,1-59,r,high,normal,bolting
2,65,2-65,r,high,normal,dead
3,71,3-71,r,high,normal,veg
4,77,4-77,r,high,normal,bolting
4,83,4-83,r,high,normal,bolting
5,88,5-88,r,high,normal,bolting
max,94,max94,r,high,normal,bolting
1,1,1-1,w,low,sterile,bolting
1,7,1-7,w,low,sterile,bolting
1,13,1-13,w,low,sterile,bolting
1,19,1-19,w,low,sterile,veg
1,25,1-25,w,low,sterile,bolting
1,31,1-31,w,low,sterile,bolting
1,37,1-37,w,low,sterile,bolting
1,43,1-43,w,low,sterile,veg
1,48,1-48,w,low,sterile,bolting
1,54,1-54,w,low,sterile,bolting
1,60,1-60,w,low,sterile,bolting
2,66,2-66,w,low,sterile,bolting
3,72,3-72,w,low,sterile,bolting
4,78,4-78,w,low,sterile,bolting
4,84,4-84,w,low,sterile,bolting
3,89,3-89,w,low,sterile,bolting
1,3,1-3,y,high,early,dead
1,9,1-9,y,high,early,bolting
1,15,1-15,y,high,early,veg
1,27,1-27,y,high,early,dead
1,33,1-33,y,high,early,dead
1,39,1-39,y,high,early,bolting
1,45,1-45,y,high,early,bolting
1,50,1-50,y,high,early,veg
1,56,1-56,y,high,early,veg
1,62,1-62,y,high,early,dead
2,68,2-68,y,high,early,bolting
3,74,3-74,y,high,early,veg
4,80,4-80,y,high,early,bolting
max,91,max91,y,high,early,bolting
max,95,max95,y,high,early,bolting
