index,sequence.start,batch,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,desorb.Start.diff,Mixup,nameBlank,kBlank,Cluster,n_peaks,verdict,FileName,sample,user,FullName,id,fuzzy_n,sample2
6205,2022-09-18T16:30:16Z,NEXP1_NEXP2_220918a_1.txt,2022-09-19T02:08:59Z,2022-09-19T02:25:03Z,2022-09-19T02:08:59Z,Desorbed NA,,,,6,,,,,,,,,NA,NEXP2Leaf_818aT6_9182022_06.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_818aT6_9182022_06.qgd,9096f752-1b18-4905-b680-b16ea33f64b6,1,NEXP2Leaf_818aT6_9182022_06.qgd
6206,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T02:49:26Z,2022-09-19T03:00:42Z,2022-09-19T02:49:26Z,Desorbed NA,,,,1,,,,,,,,,NA,NEXP2Leaf_AMBJB__220824_9182022_01.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_AMBJB__220824_9182022_01.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_AMBJB__220824_9182022_01.qgd
6207,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T03:19:57Z,2022-09-19T03:36:05Z,2022-09-19T03:19:57Z,Desorbed NA,,,,2,,,,,,,,,NA,NEXP2Leaf_AMBJB2__220824_9182022_02.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_AMBJB2__220824_9182022_02.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_AMBJB2__220824_9182022_02.qgd
6208,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T03:50:24Z,2022-09-19T04:06:32Z,2022-09-19T03:50:24Z,Desorbed NA,,,,3,,,,,,,,,NA,NEXP2Leaf_1-10__220824_9182022_03.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-10__220824_9182022_03.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-10__220824_9182022_03.qgd
6209,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T04:20:53Z,2022-09-19T04:37:03Z,2022-09-19T04:20:53Z,Desorbed NA,,,,4,,,,,,,,,NA,NEXP2Leaf_3-75__220824_9182022_04.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_3-75__220824_9182022_04.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_3-75__220824_9182022_04.qgd
6210,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T04:52:24Z,2022-09-19T05:07:32Z,2022-09-19T04:52:24Z,Desorbed NA,,,,5,,,,,,,,,NA,NEXP2Leaf_5-88__220824_9182022_05.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_5-88__220824_9182022_05.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_5-88__220824_9182022_05.qgd
6211,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T05:22:56Z,2022-09-19T05:39:02Z,2022-09-19T05:22:56Z,Desorbed NA,,,,6,,,,,,,,,NA,NEXP2Leaf_1-7__220824_9182022_06.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-7__220824_9182022_06.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-7__220824_9182022_06.qgd
6212,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T05:53:26Z,2022-09-19T06:09:35Z,2022-09-19T05:53:26Z,Desorbed NA,,,,7,,,,,,,,,NA,NEXP2Leaf_4-85__220824_9182022_07.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_4-85__220824_9182022_07.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_4-85__220824_9182022_07.qgd
6213,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T06:23:58Z,2022-09-19T06:40:08Z,2022-09-19T06:23:58Z,Desorbed NA,,,,8,,,,,,,,,NA,NEXP2Leaf_1-45__220824_9182022_08.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-45__220824_9182022_08.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-45__220824_9182022_08.qgd
6214,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T06:54:30Z,2022-09-19T07:10:37Z,2022-09-19T06:54:30Z,Desorbed NA,,,,9,,,,,,,,,NA,NEXP2Leaf_1-37__220824_9182022_09.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-37__220824_9182022_09.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-37__220824_9182022_09.qgd
6216,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T07:55:32Z,2022-09-19T08:11:43Z,2022-09-19T07:55:32Z,Desorbed NA,,,,11,,,,,,,,,NA,NEXP2Leaf_1-9__220824_9182022_11.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-9__220824_9182022_11.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-9__220824_9182022_11.qgd
6217,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T08:26:00Z,2022-09-19T08:42:11Z,2022-09-19T08:26:00Z,Desorbed NA,,,,12,,,,,,,,,NA,NEXP2Leaf_1-14__220824_9182022_12.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-14__220824_9182022_12.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-14__220824_9182022_12.qgd
6219,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T09:26:56Z,2022-09-19T09:43:03Z,2022-09-19T09:26:56Z,Desorbed NA,,,,14,,,,,,,,,NA,NEXP2Leaf_4-84__220824_9182022_14.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_4-84__220824_9182022_14.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_4-84__220824_9182022_14.qgd
6220,2022-09-18T19:44:53Z,NEXP1_NEXP2_220918b_1.txt,2022-09-19T09:58:22Z,2022-09-19T10:13:36Z,2022-09-19T09:58:22Z,Desorbed NA,,,,15,,,,,,,,,NA,NEXP2Leaf_1-35__220824_9182022_15.qgd,NA,J Bohey : Nitrogen,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Ipomopsis 2022/NEXP2Leaf_1-35__220824_9182022_15.qgd,6360fbad-2f17-49e4-b45a-b7ef6bec4d58,1,NEXP2Leaf_1-35__220824_9182022_15.qgd
