FileName,sample2,experiment,time,vial,sample_date,run_date,gc_sequence_number,.qgd,sequence.start,verdict,index,color2,date,color,plant,bag,pump,end,flowers,buds,pumpID,soil_moisture,height,notes
NEXP2_N_62_230724_7302023_02.qgd,NEXP2_N_62_230724_7302023_02.qgd,NEXP2,N,62,230724,7302023,02,qgd,2023-07-30T12:30:01Z,NA,1049,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_70_230724_7302023_05.qgd,NEXP2_N_70_230724_7302023_05.qgd,NEXP2,N,70,230724,7302023,05,qgd,2023-07-30T12:30:01Z,NA,1052,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_76_230724_7302023_09.qgd,NEXP2_N_66_230724_7302023_10.qgd,NEXP2,N,66,230724,7302023,10,qgd,2023-07-30T12:30:01Z,skip-rename,1057,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_82_230724_7302023_14.qgd,NEXP2_N_83_230724_7302023_15.qgd,NEXP2,N,83,230724,7302023,15,qgd,2023-07-30T12:30:01Z,skip-rename,1062,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_66_230724_7312023_15.qgd,NEXP2_N_66_230724_7312023_15.qgd,NEXP2,N,66,230724,7312023,15,qgd,2023-07-31T16:05:27Z,NA,1093,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_85_230724_redo_842023_02.qgd,NEXP2_N_85_230724redo_842023_02.qgd,NEXP2,N,85,230724redo,842023,02,qgd,2023-08-04T08:44:02Z,NA,1166,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_15_230724_842023_03.qgd,NEXP2_N_15_230724_842023_03.qgd,NEXP2,N,15,230724,842023,03,qgd,2023-08-04T08:44:02Z,NA,1167,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
NEXP2_N_99_230724_842023_19.qgd,NEXP2_N_95_230724_842023_20.qgd,NEXP2,N,95,230724,842023,20,qgd,2023-08-04T08:44:02Z,skip-rename,1184,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_17_230724_842023_10.qgd,DEXP2_N_17_230724_842023_10.qgd,DEXP2,N,17,230724,842023,10,qgd,2023-08-04T21:11:01Z,NA,1194,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_26_230724_842023_11.qgd,DEXP2_N_26_230724_842023_11.qgd,DEXP2,N,26,230724,842023,11,qgd,2023-08-04T21:11:01Z,NA,1195,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_88_230724_redo_842023_13.qgd,DEXP2_N_38_230724_842023_14.qgd,DEXP2,N,38,230724,842023,14,qgd,2023-08-04T21:11:01Z,skip-rename,1198,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_38_230724_842023_14.qgd,DEXP2_N_39_230724_842023_15.qgd,DEXP2,N,39,230724,842023,15,qgd,2023-08-04T21:11:01Z,skip-rename,1199,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
DEXP2_N_39_230724_842023_15.qgd,DEXP2_N_40_230724_842023_16.qgd,DEXP2,N,40,230724,842023,16,qgd,2023-08-04T21:11:01Z,skip-rename,1200,NA,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
