Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde
NEXP1_tenC10__220720_9162022_05.qgd	0	0	90692	0	928	6762	0	1912	0	0	666	0	12894	12818	25036	993	0	0	293	638	323	5153	6995	0	0	0	0	0	0	1483	0	6242	26988	4058	2989	0	275	0	511	146	0	9591
NEXP1_816T1_D_220725_8162022_01.qgd	0	265	0	24	0	0	0	0	0	91	0	0	0	0	0	113	0	0	0	0	693	0	0	265	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEXP1_816T2_D_220725_8162022_02.qgd	0	0	62124	0	476	476	244	2073	0	0	750	0	35568	282333	77143	1123	0	0	0	469	1573	0	0	0	0	0	0	0	0	0	0	3828	45391	5791	1778	1148	0	0	0	0	0	5839
NEXP1_816T3_D_220725_8162022_03.qgd	440	0	294944	8291	15518	145462	0	1100	5832	547	365	0	60128	34596	46805	901	1081	173	6045	0	5769	105921	7520	1024	0	0	0	0	0	0	0	10430	31361	5900	4462	981	2281	877	413	2040	0	23352
NEXP1_816T4_D_220725_8162022_04.qgd	0	0	124130	8539	777	5010	0	874	0	0	637	0	48523	22146	77642	832	187	0	245	0	0	0	0	0	0	0	0	0	0	0	0	10599	36147	12964	2575	0	0	0	0	142	0	8570
NEXP1_816T5_D_220725_8162022_05.qgd	0	0	67270	0	1015	3579	0	570	0	0	835	0	29121	59853	63977	422	129	0	0	0	1265	0	0	0	0	684	0	0	0	0	0	0	29146	2600	4446	212	0	0	0	169	0	7713
NEXP1_816T6_D_220725_8162022_06.qgd	0	0	313564	5186	2989	15366	0	2290	0	0	1087	0	19252	47708	81431	290	1108	0	4598	579	0	19182	0	0	0	0	0	0	0	0	1894	5576	41340	5672	1467	0	0	0	360	455	231	4772
NEXP1_816T7_D_220725_8162022_07.qgd	5070	0	211419	68323	3179	8960	12475	2189	0	0	1229	4729	126589	203314	54661	0	3447	0	4793	1780	7349	25477	0	0	6010	0	0	0	0	309	0	71943	103912	93719	5527	0	0	0	2738	327	0	33466
NEXP1_816T9_D_220725_8162022_09.qgd	917	0	78772	0	4636	26809	0	1739	0	1388	727	0	31937	131147	72877	1249	268	122	12748	2278	6047	95077	0	0	0	0	669	0	0	176	778	6052	57715	5263	1793	0	1445	503	990	644	6105	22851
NEXP1_816T10_D_220725_8162022_10.qgd	0	0	72815	0	2081	0	0	2033	0	0	1036	0	28074	61403	732753	1069	0	0	2017	1165	0	0	0	0	0	0	0	0	0	1099	0	0	96990	2512	1836	0	0	0	0	129	0	17560
NEXP1_816T11_D_220725_8162022_11.qgd	907	0	99463	8759	2466	12986	0	2234	0	1635	2275	0	40423	265384	110126	736	0	213	0	671	5948	0	0	0	0	2077	0	0	0	0	0	0	93763	13525	1551	1072	347	0	0	398	0	11277
NEXP1_816T12_D_220725_8162022_12.qgd	1007	0	257901	18681	10352	57807	0	1233	0	0	1427	278	36317	291567	122443	2575	633	0	8567	2763	5177	96467	0	0	0	0	0	0	0	540	878	19178	48485	18869	3210	1594	2133	0	2831	1797	11164	13438
NEXP1_816T13_D_220725_8162022_13.qgd	2256	0	173057	57844	27135	237448	1492	1625	6740	2636	571	1274	29136	568888	47875	1025	6067	4165	32555	14090	27084	440024	0	0	16232	10964	3406	0	551	0	33685	56204	36442	51620	3125	13015	4583	0	2277	3680	19748	7198
NEXP1_816T14_D_220725_8162022_14.qgd	1249	0	609429	11968	1017	4811	0	1621	0	0	1292	391	40968	42811	90106	968	0	2891	0	463	1008	0	0	0	0	0	0	0	0	1715	1269	12102	55842	19449	2611	0	1549	0	2372	356	0	13346
NEXP1_816T15_D_220725_8162022_15.qgd	4880	0	112001	81838	7341	50762	15923	2740	0	0	1607	0	161415	448992	131750	1743	1051	0	21467	2741	24813	442605	0	0	0	0	0	0	1509	0	0	86085	145068	115568	8711	7020	2711	0	5034	1442	24332	32210
NEXP1_816T16_D_220725_8162022_16.qgd	1063	0	196503	7462	7935	59623	0	2007	0	449	1478	0	31188	192201	120823	2244	1498	0	5439	1537	7317	76145	0	0	0	0	0	0	0	1081	3456	8001	55116	8687	1652	1623	2488	1585	3870	1724	5410	6732
NEXP1_816T19_D_220725_8162022_19.qgd	5106	0	122661	63187	3448	25849	14745	3733	0	0	3733	0	147149	78763	172802	3838	1071	0	0	0	7751	0	0	0	0	0	0	0	0	1721	0	65514	156091	93908	6821	2021	645	0	4139	958	0	29583
NEXP1_816T20_D_220725_8162022_20.qgd	0	0	115609	3574	3721	13055	0	1811	0	1077	1112	0	23401	190587	90263	701	0	0	0	483	2828	0	0	0	0	1348	0	0	0	613	475	4496	86948	5557	1376	0	0	678	625	697	0	7561
NEXP1_817bT1_9172022_01.qgd	1111	0	72892	6305	1402	8393	838	425	0	927	80	0	20498	288262	12180	119	1366	0	0	3050	920	26920	0	0	4305	0	0	0	338	0	593	7811	16704	19149	1173	1204	429	0	885	387	1068	7128
NEXP1_817bT2_9172022_02.qgd	0	0	57765	33375	6984	5354	6902	2456	0	0	0	0	128467	56410	46141	2398	737	0	0	1652	6968	0	0	0	0	0	0	0	1196	671	0	43965	73709	60516	5230	0	0	0	0	322	418	18085
NEXP1_817bT3_9172022_03.qgd	0	0	37315	4359	2380	20751	0	791	0	0	0	0	18282	162289	33560	427	609	0	0	0	1990	0	0	0	1338	0	0	0	0	0	0	5508	24106	23472	1704	0	761	0	914	517	0	5746
NEXP1_817bT4_9172022_04.qgd	0	0	89571	12632	2152	18414	2259	3137	0	0	0	2183	36869	99444	44355	1186	694	0	1468	1280	2048	25156	0	671	0	0	0	0	0	0	0	18100	48964	47237	2851	0	616	0	1215	386	971	10251
NEXP1_817bT5_9172022_05.qgd	0	0	106774	96319	13988	0	21770	6870	0	0	2077	0	350656	128854	958549	590	1781	0	0	0	7424	0	0	0	0	0	0	0	0	5444	0	115173	193235	169627	13968	0	0	0	6646	548	1187	39618
NEXP1_817bT6_9172022_06.qgd	0	0	87306	0	2019	12757	0	1603	0	0	483	0	25446	108800	49217	1182	0	152	728	0	1101	8292	0	0	0	0	0	0	0	1220	0	7743	36655	10014	1695	434	233	0	0	214	0	7636
NEXP1_817bT7_9172022_07.qgd	0	0	56179	13109	7140	60560	0	3472	0	0	976	0	50934	91940	142495	1413	332	0	0	863	0	0	0	0	0	0	0	0	0	875	0	17289	63687	21146	3788	0	356	0	2158	980	0	9708
NEXP1_817bT8_9172022_08.qgd	0	0	195277	22443	17730	2788	0	5188	11639	580	593	0	27950	20374	46827	17221	393	900	0	4774	934	0	0	0	12946	0	0	0	0	0	3411	26530	50425	21347	68894	0	317	0	947	328	0	9133
NEXP1_817bT9_9172022_09.qgd	0	0	244895	53480	5207	42062	628	2704	20865	0	552	0	34542	187546	121789	20030	367	0	3766	9026	8798	101142	0	594	15321	0	6690	0	0	917	1993	49743	24612	39424	36383	0	1276	0	509	480	1376	6876
NEXP1_817bT10_9172022_10.qgd	0	0	31671	0	1281	7528	0	755	0	0	372	0	51588	196763	50798	557	0	0	0	0	0	0	0	0	0	0	0	0	0	295	174	3380	28425	6477	1543	1028	690	0	877	147	0	5085
NEXP1_817bT11_9172022_11.qgd	14906	0	271959	129150	8413	13772	15611	4184	0	10842	1826	0	292217	65765	99033	1797	926	0	20486	16858	10524	307175	0	0	48160	22843	0	17154	2749	3953	5981	139781	146136	188490	12599	23822	1080	0	2297	515	10138	30626
NEXP1_817bT12_9172022_12.qgd	38278	0	110207	145412	10886	34690	17117	4841	0	0	1607	0	375977	150530	108786	5345	1699	0	1190	13814	8615	22714	0	0	36211	0	0	0	4321	39303	4287	153667	160874	242899	15515	87709	0	0	1975	1100	0	37880
NEXP1_817bT13_9172022_13.qgd	16150	0	139659	136958	10167	46232	14883	4503	0	0	2389	16456	299684	95954	107431	2223	1467	0	5739	2839	3499	45711	0	0	18968	0	0	0	0	25673	7116	140409	169089	183919	10381	25756	3092	0	3320	1479	2903	32992
NEXP1_817bT14_9172022_14.qgd	2550	0	321773	46157	39414	312141	3466	1831	8041	1407	366	0	50358	164282	22131	1066	1728	1510	27315	7577	24691	412768	0	58830	25879	0	0	2244	552	1214	9056	49355	50118	41122	5077	5250	5611	0	2648	4791	14202	13957
NEXP1_817bT15_9172022_15.qgd	8236	0	748566	16073	2575	8108	0	1561	0	2276	938	402	39114	22569	20854	777	0	0	1155	1374	486	15026	0	1247	7868	3106	0	5009	489	492	1894	15384	55615	21495	1705	22396	0	0	1141	292	1767	11304
NEXP1_817bT16_9172022_16.qgd	12479	0	1589803	142602	10270	17612	11718	5229	0	6332	700	7346	179333	19196	680580	0	2260	0	3551	3334	2897	16611	0	0	9720	0	0	0	1482	2875	6545	149592	134588	255181	8201	33027	2896	0	3743	565	0	27059
NEXP1_817bT16redo__220824_9182022_10.qgd	1093	0	288519	41560	38711	208231	1725	3916	0	3357	1769	0	44684	331426	178230	4488	2422	0	119520	9642	85469	1705379	0	45649	27105	0	0	0	0	920	18866	40284	105795	71808	2842	4068	7419	4344	14034	7657	164919	8958
NEXP1_817bT17_9172022_17.qgd	15435	0	430238	51706	3398	10261	1890	884	0	2483	629	491	45455	132981	45599	401	732	180	3964	607	2487	23667	0	0	32680	9165	0	0	1199	5348	0	51906	54934	92361	2704	66068	854	0	1081	299	2032	9864
NEXP1_817bT18_9172022_18.qgd	0	0	167251	38070	12825	8264	7970	7235	0	0	0	0	147060	32464	34173	798	195	0	2241	2973	5252	7899	1444	0	3714	0	0	0	1270	5499	1435	48693	68694	69268	5530	0	1268	0	1960	458	0	13602
NEXP1_817bT19_9172022_19.qgd	0	0	266262	29117	4723	23906	1241	1838	0	4356	561	0	61978	267062	112915	1409	680	0	631	569	1247	6899	0	0	8094	4974	558	0	0	5837	0	27364	55992	38022	3884	1150	1528	0	3068	761	238	0
NEXP1_817bT19redo__220824_9182022_13.qgd	2328	0	63268	11813	4359	30463	2322	3510	0	0	1367	0	65650	89521	125175	1778	238	319	10358	809	13127	179074	0	0	11024	0	0	0	0	0	0	0	71632	20610	3326	1692	1076	0	2499	1038	15954	10019
NEXP1_817bT20_9172022_20.qgd	0	0	393140	40817	16428	2501	7234	1984	0	676	0	7089	151224	23426	51842	460	394	0	0	0	5456	5110	0	0	4734	0	0	0	1126	2181	405	50979	64663	72597	5732	1882	940	0	0	288	0	11180
NEXP1_817bT21_9172022_21.qgd	0	0	144310	4528	2082	0	0	3697	0	0	1590	0	65744	51464	0	2245	0	0	2294	1006	0	19952	0	0	0	0	0	0	0	0	0	0	109338	12478	8699	1277	0	0	0	259	2455	7777
NEXP1_817bT22_9172022_22.qgd	4906	0	150901	89827	142415	0	15073	4527	0	4219	1367	0	408034	280413	413178	3827	1662	0	0	591	6832	0	43792	0	0	0	0	0	3272	4181	0	74582	167048	150206	11247	0	0	0	0	624	1031	28667
NEXP1_817bT23_9172022_23.qgd	0	0	168584	95719	14869	13787	14845	4243	0	0	1658	0	355819	78164	121463	0	4476	0	2787	18349	6181	16043	31384	0	588	0	0	0	3180	3506	6587	108151	163009	160459	10940	0	0	0	4971	760	449	34808
NEXP1_817bT24_9172022_24.qgd	4359	0	410028	72229	1366	5186	3572	1739	4022	1620	829	0	48351	146889	91500	610	1967	0	0	102237	6718	41704	24720	790	47488	19716	0	0	2090	0	31200	66273	57434	66527	7563	12784	1738	0	1732	0	3585	15444
NEXP1_817bT25_9172022_25.qgd	2309	0	182581	17208	6342	31637	0	1032	0	0	330	1901	52623	346363	42835	906	261	719	361	1226	1088	4579	16293	0	11209	0	0	0	0	4521	472	19346	39291	29028	3046	4412	1314	0	1737	884	0	52173
NEXP1_817bT26_9172022_26.qgd	0	0	128089	31064	10201	4117	6945	1251	0	0	891	0	102202	17570	25264	1293	0	0	0	0	4214	0	10040	0	0	0	0	0	750	1880	0	41221	62929	56489	3637	0	0	0	0	231	229	14566
NEXP1_817bT27_9172022_27.qgd	474	0	66270	0	4009	23450	0	1746	0	0	1719	0	48835	394758	30036	2164	856	435	49825	2048	37423	841687	0	0	0	0	0	0	0	665	0	7995	45947	8945	4311	1349	860	0	1639	696	36476	9861
NEXP1_817bT28_9172022_28.qgd	0	0	49511	0	1645	9329	0	739	0	0	242	0	40052	106487	19337	420	0	0	378	2653	1909	0	0	0	0	0	0	0	0	350	1224	6564	43123	9138	1184	520	0	0	468	0	0	9063
NEXP1_818aT1_9182022_01.qgd	0	0	200421	13534	25051	142563	0	1206	0	1782	1228	127	40471	49143	78301	2323	209	502	1941	0	1445	14847	0	0	0	0	0	0	0	0	0	13166	67368	9228	1439	0	3698	1877	5218	5809	2138	22198
NEXP1_818aT2_9182022_02.qgd	4291	0	72381	78321	132077	9098	16357	3678	0	0	1289	42436	297996	0	43419	1564	0	0	0	0	12523	0	0	0	0	0	0	0	0	3702	0	96083	146023	131917	11615	0	0	0	0	650	0	40394
NEXP1_818aT3_9182022_03.qgd	0	0	5093	0	739	3707	0	2208	0	2082	850	0	34553	54939	338635	1864	0	0	0	0	2807	0	0	0	0	0	0	0	0	0	0	0	58592	3954	2246	0	0	268	0	147	0	10634
NEXP1_818aT4_9182022_04.qgd	2363	719	66260	33608	4264	15750	5697	4016	0	1277	595	5902	85064	89314	103220	1189	616	335	22596	0	25321	504149	0	0	0	0	0	0	685	2703	0	42475	57154	55026	4613	0	0	0	1819	557	23887	11302
NEXP1_818aT5_9182022_05.qgd	0	0	74863	12097	21737	3360	5056	2569	0	0	652	0	62737	171670	84512	748	389	0	0	320	2341	0	0	0	0	0	0	0	0	1262	0	0	48081	22714	4337	0	0	0	0	0	0	15006
NEXP1_915T1_9152022_01.qgd	2562	0	113193	43405	5700	48444	5707	1706	0	0	1371	0	115709	17130	33738	1546	413	0	0	369	3155	8671	0	0	0	0	0	0	0	0	0	51665	84710	54471	4066	1049	1771	0	2550	1089	0	40406
NEXP1_915T2_9152022_02.qgd	0	0	24784	0	18233	225561	2486	2132	0	0	320	0	24958	14106	38606	1264	0	81	0	360	1398	14065	0	0	0	0	0	0	0	0	0	10252	30527	4424	2740	0	2521	0	672	2559	317	18044
NEXP1_915T3_9152022_03.qgd	0	0	57706	12853	9724	93684	2748	1340	6935	0	439	0	35021	88163	18176	1080	379	0	1440	0	4247	50495	0	0	0	0	0	0	0	0	0	14524	36644	13051	3359	697	1290	0	487	1068	518	16049
NEXP1_915T4_9152022_04.qgd	0	0	17306	0	1495	11418	0	5676	2007	662	453	0	24367	82351	17056	1422	0	0	0	1134	2076	0	0	0	3420	738	0	0	0	0	0	0	22460	4259	7436	0	0	0	691	190	0	10751
