Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	caprolactam	Nonanoic acid	indole	a-copaene	petasitene	trans-a-bergamotene	b-caryophyllene	trans-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(E)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	cis-a-bergamotene	(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	benzaldehyde	D-limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	4,7-Methano-1H-indene, 2,4,5,6,7,7a-hexahydro-	cosmene	(4E,6Z)-alloocimene	Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	3-Furaldehyde	1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-	2-Decanone	Benzamide	Benzenebutanoic acid, .gamma.-oxo-	2,6-Octadienal, 3,7-dimethyl-, (E)-	1,2,3-Propanetriol, 1-acetate	pentan-1-ol
Ihyb_84aT1_N_220711_842022_01.qgd	10628	0	154549	76005	76381	515885	10011	32197	0	0	2405	42815	209276	92929	158976	2443	0	0	25970	6482	30913	511257	0	0	24545	16887	0	0	3739	3387	0	230142	65378	15622	11675	10713	0	6349	13781	34425	36367	3839	17633	26022	59010	0	55548	0
Ihyb_84aT2_N_220711_842022_02.qgd	3126	0	568733	62288	139455	808386	1298	9018	7229	0	1521	0	32451	36607	74384	1857	388	0	5990	13282	6399	81174	0	0	12576	1280	10089	0	0	0	1665	77104	16317	2833	21864	24291	7325	29912	19836	0	11991	9485	5995	14525	41712	0	41816	0
Ihyb_84aT3_N_220711_842022_03.qgd	389	0	118859	39074	90402	988238	1937	1628	9750	0	1446	2868	47722	51711	347230	7792	1493	0	10501	10821	36197	466348	0	0	238	0	0	0	0	2475	0	52498	5379	6554	803	11024	3162	12416	15404	14484	7778	5011	0	37611	18794	7992	58128	0
Ihyb_84aT4_N_220711_842022_04.qgd	1656	0	86170	11717	16773	206542	0	1720	4341	2804	1527	0	36616	89937	125595	3577	0	0	2992	1377	11618	266482	0	0	256	5051	1617	0	0	0	0	88141	5730	3023	4915	4481	1781	5554	3909	771	40200	1600	6511	18609	58817	0	47931	0
Ihyb_84aT5_N_220711_842022_05.qgd	0	0	10960	0	2563	2563	0	2364	0	0	2218	0	234742	140802	419912	6629	0	0	0	794	8733	0	0	27355	575	6489	3477	0	0	5357	0	116502	10340	19976	1731	0	0	0	0	0	15295	1911	19076	32943	73512	12906	84775	0
Ihyb_84aT6_N_220711_842022_06.qgd	1682	0	266628	17614	5960	55288	0	2528	0	14718	3607	0	59477	93953	126232	1052	1579	0	1521	7958	3115	38859	88393	0	0	4185	3183	0	0	0	4017	134804	19081	4668	4520	1582	0	4391	1107	1148	23114	359	6376	21283	17019	0	60227	0
Ihyb_84aT7_N_220711_842022_07.qgd	0	0	242617	27673	66660	327176	0	9291	0	6123	3290	0	70246	33071	351858	7063	900	0	2566	2768	10835	22061	0	0	0	0	0	31252	0	661	0	150686	6653	5652	0	12202	5094	17903	12968	4052	15994	2481	17605	61825	73445	0	42900	0
Ihyb_84aT8_N_220711_842022_08.qgd	1025	0	949018	117508	215533	2465549	4531	6234	7866	12938	4601	563	19949	43696	219600	1366	4338	0	11872	17415	40462	541745	0	0	0	0	0	6683	0	0	3671	91692	24641	1672	1511	23988	13019	26967	54180	20819	14818	6559	9738	45654	76135	0	63950	0
Ihyb_84aT9_N_220711_842022_09.qgd	1548	0	7028	0	4772	0	0	6428	0	1569	3874	0	75174	103592	393135	3868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161401	4285	3113	2300	0	0	0	0	0	17537	0	15157	42940	91186	0	43885	0
Ihyb_84aT10_N_220711_842022_10.qgd	5492	0	503894	66885	20961	207565	0	2812	0	14222	1178	543	280520	31770	72782	975	1750	0	2471	17520	13235	113358	0	0	7641	0	0	0	1645	4814	0	175560	80775	14700	5785	1231	0	4676	2050	1285	33367	3027	14837	7502	24427	11273	85849	0
